Site,y.1,y.2,y.3,y.4,Treatment,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,LastB,TimeSinceB,LastT,Herbicide,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4
Timberhaven_2B_1,2,1,1,,2B,73,0,89.6,1.067,54.467,16,2,1,2016,1,2014,1,1,1,2,,1,2,1,,1,0,0,,2457892.5,2457898.5,2457913.5,
Timberhaven_3B_7,0,1,0,,3B,42,0,55.592,0.725,67.883,32,8,3,2016,1,2015,1,1,1,1,,1,2,0,,0,1,0,,2457892.5,2457898.5,2457913.5,
Timberhaven_3B_8,1,1,2,,3B,38,0,67.084,0.313,66.8,34,8,3,2016,1,2016,1,1,1,1,,2,2,0,,0,1,0,,2457892.5,2457898.5,2457913.5,
Turkey_Rd_2B_6A,1,2,0,0,2B,66,0.2,82.58,1.588,61,26,2,2,2015,2,2007,1,1,1,1,2,1,1,1,0,1,5,0,1,2457890.5,2457903.5,2457919.5,2457932.5
Turkey_Rd_2B_6B,1,1,0,0,2B,82,0,84.764,1.888,58.933,26,2,2,2015,2,2007,1,1,1,1,2,1,1,1,1,1,2,0,0,2457890.5,2457903.5,2457919.5,2457932.5
Turner_Abercrombie_0B_E_AB,2,1,1,,0B,97,2.2,93.916,3.113,56.267,16,0,1,.,.,2015,1,3,3,3,,1,2,0,,1,0,0,,2457883.5,2457899.5,2457918.5,
Turner_Abercrombie_1B_2,2,2,1,,1B,114,2,96.724,1.25,57.667,16,1,1,2016,1,2015,0,3,3,3,,1,1,1,,1,0,0,,2457883.5,2457899.5,2457918.5,
Turner_Honea_Path_0B_1,2,2,2,,0B,121,0.6,98.18,3.25,56.533,16,0,1,.,.,2015,1,3,3,2,,1,2,1,,0,1,0,,2457889.5,2457899.5,2457918.5,
Turner_Honea_Path_0B_6,2,2,1,,0B,92,0.2,97.036,2.6,71.4,24,0,2,.,.,2016,0,1,3,2,,1,2,1,,0,1,0,,2457883.5,2457899.5,2457918.5,
Turner_Honea_Path_3B_1,1,0,1,,3B,76,1,93.24,2.8,76.4,25,3,2,2011,6,2015,1,3,1,3,,1,0,0,,1,1,1,,2457883.5,2457902.5,2457916.5,
Turner_Honea_Path_3B_3,2,2,0,,3B,90,0.4,93.396,2.625,75.2,29,3,2,2011,6,2015,1,1,1,3,,1,1,0,,1,1,1,,2457883.5,2457902.5,2457916.5,
