Site,y.1,y.2,y.3,y.4,YearCat,Treatment,Herbicide,LastB,LastT,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,TimeSinceB,TimeSinceT,HWdens_10,HWdens_50,HWdens_100,FG_herb,FG_shrub,NHW_saplings,NP_over_20cm,Rel_HW2P_canopy,Rel_HW2P_shrubcover,LCR,HW_dens_1050,HW_shrub,Parea,ShapeIndex,PAratio,FracDimIndex,CoreAreaIndex,Ag500m,Ag1km,Ag5km,Ag30km,Evergreen500m,Evergreen1km,Evergreen5km,Evergreen30km,Imperv500m,Imperv1km,Imperv5km,Imperv30km,Protected30km,HighDev500m,HighDev1km,HighDev5km,HighDev30km,LowDev500m,LowDev1km,LowDev5km,LowDev30km,OpenDev500m,OpenDev1km,OpenDev5km,OpenDev30km,Grass500m,Grass1km,Grass5km,Grass30km,Schrubs500m,Schrubs1km,Schrubs5km,Schrubs30km,Water500m,Water1km,Water5km,Water30km,NSoilTypes,FPSiteIndex,SiteIndexPrimaryS,PISoils,SISoils,HydricSoils,Latitude,Longitude,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4,Time.1,Time.2,Time.3,Time.4
Kemp_2B_5,3,4,4,,A,2B,1,2017,,93,0,91.368,1.25,59.067,26,2,2,0,6,33.2,27.4,13.8,0.256,0,11,4,0.18,1,0.43,60.6,8.3,60.083,1.3,0.011818182,1.053047849,0.090909091,0,18.62290877,1039.075825,48503.36053,79.30377917,233.6040511,5927.286888,102710.9203,0,0,218.8577298,3095.230756,59054.91204,0,0,140.463978,13540.60558,0,1.067592875,277.3472233,7217.727541,0,14.47223918,660.8402981,13316.8441,3.641606525,36.90273586,1069.591836,38815.10794,6.859155885,44.12929235,428.1912798,18985.10072,0,4.433420669,72.43701878,6441.281455,3,82.624,83,16.4,68.4,0,33.75511791,-81.9448867,3,1,3,,2,3,1,,2,1,1,,8,29,48,,80,10,120,
Kemp_3B_11,5,5,4,,A,3B,1,2014,2012,41,0.8,69.684,1.388,77.667,57,5,6,3,5,29.8,26.8,4.6,0.43,0.105,1.2,1.6,0.04,0.45,0.43,56.6,3,26.996,1.5,0.0225,1.082261399,0,0.228921272,17.49033638,878.2995444,46367.05535,96.92559793,311.393596,6566.282688,101513.8721,0.300169,0.300169124,59.91717545,3552.527018,65976.54095,0,0,39.80001742,13554.74048,0.987365778,3.252281445,76.29280006,8676.153711,7.143467837,15.93151007,311.7831643,14710.50686,15.39279934,43.5371952,980.8029069,37439.47846,3.44222119,14.461769,427.6814788,18679.53158,0,2.132230557,42.35221592,9122.1105,3,80.08,80,0,14.8,0,33.74644054,-81.95568209,3,2,4,,2,2,0,,2,1,1,,8,29,48,,118,58,74,
Kessler_3B_4,3,3,6,,A,3B,0,2016,2005,105,1.2,94.228,0.65,64.267,31,3,2,1,12,35.4,24.8,6.4,0.654,0.223,3.4,4.6,0.02,0.98,0.41,60.2,8.3,200.129,1.555555556,0.007,1.065925826,0.375,0.228114839,49.55525995,2928.664557,71790.21185,102.0785432,255.3922954,3115.478931,111335.3729,0,0,0.043248785,6388.078843,37428.39567,0,0,0.08131229,4150.693065,0,0,27.6608096,8115.171154,2.624901882,6.766315185,433.0196337,33408.39005,7.839901257,76.51817175,1348.767864,42702.443,0,0.777973148,490.2304796,21185.03431,0,0,32.79312439,6430.603797,6,84.80722892,85,42.7,5.9,0.12,34.228088,-82.28769354,1,1,1,,1,0,1,,1,0,1,,5,19,35,,12,139,48,
Kessler_3B_5A,5,4,5,,A,3B,0,2015,2016,91,0.6,89.34,1.088,77.667,31,3,3,2,1,21.75,14.75,11.4,0.72,0.342,1.8,4.6,0.07,0.6,0.4,36.5,17.5,267.633,1.523809524,0.005981308,1.062834976,0.476635514,19.69175322,104.0835313,2917.206786,71567.15995,103.8528179,252.301722,3199.975531,112872.0118,0,0,0.66718453,6375.445846,38257.98496,0,0,0.304543686,4150.693065,0,0,30.47105833,8075.642991,1.103386303,3.951978391,440.7774697,33237.85226,3.450118714,73.23212525,1391.127031,42633.45324,0,9.212078732,420.4686879,21308.10895,0,0,32.24595897,6164.843912,6,84.13414634,85,20.5,29.6,0.2,34.22474253,-82.29103918,1,3,1,,1,1,1,,1,0,1,,5,19,35,,37,161,31,
Kessler_3B_5B,5,3,7,,A,3B,0,2015,2016,75,1.6,94.28,1.588,78.467,31,3,3,2,1,25.8,25.2,24.2,0.78,0.075,14,3.6,0.22,1,0.41,51,44.5,267.633,1.523809524,0.005981308,1.062834976,0.476635514,10.06008127,59.9453861,3073.598822,73466.45472,75.98232992,221.3908824,3263.463758,111603.2207,0,0,0,6411.222301,38112.17774,0,0,0,4147.224921,0,0,34.1538785,8139.161711,0,0,401.5887902,33213.75424,2.104251102,71.45316672,1417.514773,42974.89722,12.24910636,21.08149748,507.0664737,21078.77883,0,0,31.36356113,5891.756006,6,84.13414634,85,20.5,29.6,0.2,34.22719306,-82.29886754,1,1,1,,2,1,0,,1,0,1,,5,19,35,,63,186,13,
Livingston_3B_10,4,7,7,5,A,3B,1,2016,2011,73,1.4,96.1,1.525,78.083,39,4,2,1,6,33.4,26,10.4,0.7125,0.014,15,4,0.33,0.49,0.42,59.4,15,51.309,1.5,0.014285714,1.080399399,0,35.82527905,72.31676234,1211.258162,85761.07428,68.41194268,278.9582618,5948.662258,163159.244,0,0,4.315333907,2251.490005,19274.37626,0,0,1.943456432,5083.993488,0,0,21.15492855,4820.971122,0,0,481.1990493,25617.62333,3.761102879,38.83492095,1021.910722,36515.91865,0,6.872842818,517.2111056,19864.57475,2.63993586,2.63993586,178.1453551,12167.69494,6,75.99457112,75,7.9,23,0,34.16548541,-81.83050163,1,1,1,1,0,3,1,2,1,0,1,2,2,15,30,53,77,180,8,4
Mathis_1B_6,6,4,7,5,A,1B,0,2014,2017,50,0,69.164,1.375,60.333,30,1,2,3,0,34.6,53,39.4,0.617,0.11,28,1.4,0.41,1,0.42,87.6,48.5,47.521,1.333333333,0.012,1.048155265,0.15,0,4.866675904,324.8401129,30341.35913,57.38374056,260.8268505,8361.621882,126004.2838,0,0,0.152271843,1137.439137,145209.3624,0,0,0.152271843,11329.50164,0,0,6.529617721,2895.578615,0,0,218.8615403,11992.2069,7.471050174,37.27750163,697.7144979,22706.0259,24.11252422,39.18846481,1138.77878,26409.21015,0,0,47.55238848,31251.2875,4,83.40970874,81,61.4,38.7,0,33.81044559,-82.0824836,3,1,1,1,3,1,0,0,1,2,1,0,7,20,36,49,155,53,3,125
Mathis_1B_7,6,4,8,7,A,1B,0,2014,2012,74,1.6,84.14,2.875,59.8,30,1,1,3,5,53.4,39.4,52.6,0.61,0,38.2,3.8,0.19,1,0.39,92.8,39,37.359,1.75,0.0175,1.09340217,0,0,4.866675904,576.4625092,31354.43864,64.8377278,182.0072811,8222.912291,124592.1762,0,0,0.152271843,1186.31959,139663.8615,0,0,0.152271843,11237.25045,0,0,11.32631036,3026.058011,0,0,250.6328219,11948.95396,5.486829851,118.016671,795.8382762,22579.28957,4.807588441,54.06313028,1088.813664,26602.64076,0,6.018609388,48.87784014,28790.38975,5,76.664,73,0.6,44.1,0,33.81408384,-82.07280552,1,1,1,2,3,1,1,0,0,2,1,0,7,20,36,49,234,28,26,102
Mills_0B_9,3,3,1,2,A,0B,0,,2014,96,1.2,94.696,1.188,68.375,30,0,2,50,3,19,14,10.8,0.016,0,10.2,5,0.42,1,0.37,33,21.5,152.889,1.1875,0.006129032,1.028149947,0.467741935,0.507578917,36.4207172,4310.969405,79236.41862,104.4817343,192.0576388,3482.027018,103893.3413,0,0,9.382119566,5014.393026,2696.252675,0,0,4.234289032,8909.766791,0,0,62.90825545,9345.8293,0,0,288.8408076,20257.6973,5.6004335,22.08084091,2011.853178,57698.72048,0,0,217.2503575,25271.03419,0,5.221515762,162.989728,4527.249036,5,81.223,83,1.8,37.3,0,33.77279886,-81.71843659,1,1,1,1,1,1,1,0,2,1,1,1,8,23,40,53,166,14,122,44
Mills_1B_4,4,3,5,6,A,1B,0,2007,2016,97,1.2,96.516,2.213,80.267,23,1,2,10,1,33.4,20.6,10.8,0.122,0,2.6,5.2,0.11,1,0.42,54,5.9,15.842,1.2,0.02,1.036853429,0,21.78904001,156.2093466,6766.039447,75034.98754,37.31723119,96.3341446,2614.669971,98127.7332,0,0,32.25094438,4774.218478,4007.50864,0,0,17.80706474,9026.770394,0,1.084421657,74.85717978,9271.467367,0,10.25507934,435.9928176,18689.66857,15.47706657,92.0302584,1969.339033,55637.82973,0,2.65993774,203.8233498,22419.8291,2.890303258,8.844830063,162.751183,4582.914817,3,82.576,82,7.2,32.2,0,33.76843968,-81.7529816,1,3,2,2,3,1,2,0,1,0,1,1,8,23,40,53,229,73,180,16
